,feature,gain,weight
0,f0,1383.4927978515625,741.0
1,f1,117.05089569091797,311.0
2,f2,271.28759765625,240.0
3,f3,225.0574493408203,256.0
4,f4,203.71878051757812,275.0
5,f5,122.6739501953125,311.0
6,f6,148.5338897705078,152.0
7,f7,60.01211166381836,391.0
8,f8,138.76116943359375,171.0
9,f9,87.02992248535156,308.0
10,f10,477.5491027832031,172.0
11,f11,58.355186462402344,379.0
12,f12,48.51905822753906,342.0
13,f13,32.05125045776367,343.0
14,f14,520.2656860351562,40.0
15,f15,45.23041915893555,281.0
16,f16,23.172969818115234,387.0
17,f17,759.4005126953125,210.0
18,f18,73.36345672607422,186.0
19,f19,10.986103057861328,191.0
20,f20,101.7075424194336,217.0
21,f21,76.40077209472656,156.0
22,f22,59.611122131347656,180.0
23,f23,237.6258087158203,47.0
24,f24,485.85400390625,228.0
25,f25,78.58340454101562,120.0
26,f26,14.880173683166504,265.0
27,f27,43.962223052978516,256.0
28,f28,24.950590133666992,189.0
29,f29,15.987202644348145,213.0
30,f30,15.660990715026855,274.0
31,f31,151.05221557617188,221.0
32,f32,21.65509033203125,34.0
33,f33,39.85160446166992,98.0
34,f34,90.15545654296875,16.0
35,f35,35.11128234863281,190.0
36,f36,11.09260368347168,229.0
37,f37,48.165565490722656,128.0
38,f38,11.509203910827637,227.0
39,f39,42.76765060424805,145.0
40,f40,11.000175476074219,249.0
41,f41,36.83922576904297,43.0
42,f42,11.909573554992676,236.0
43,f43,18.843229293823242,178.0
44,f44,14.538925170898438,245.0
45,f45,19.264854431152344,189.0
46,f46,14.712217330932617,224.0
47,f47,22.80168914794922,223.0
48,f48,12.279182434082031,221.0
49,f49,16.18560028076172,151.0
50,f50,13.450699806213379,184.0
51,f51,17.27716636657715,56.0
52,f52,26.5346622467041,29.0
53,f53,23.43012809753418,73.0
54,f54,13.250714302062988,100.0
55,f55,16.116220474243164,170.0
56,f56,37.63605499267578,223.0
57,f57,15.894619941711426,137.0
58,f58,66.24677276611328,43.0
59,f59,23.506059646606445,107.0
